,name,alcohol_impaired_driving_deaths,high_school_graduation,unemployment,median_household_income,children_in_single_parent_households,social_associations,drug_overdose_deaths,disconnected_youth,homicides,suicides,population,population_density,below_18_years_of_age,X65_and_older,non_hispanic_black,american_indian_or_alaska_native,hispanic,female,excessive_drinking,adult_smoking
2464,Hardeman County,0.264705882,0.92,0.042095835,44454,0.416031321,12.97884056,18.58933503,,13.550059,18.75554524,25529,38.23037315,0.193074543,0.188099808,0.411022758,0.003917114,0.021935838,0.448313683,0.130643243,0.26
2465,Hardin County,0.311111111,0.93,0.040143084,42573,0.187069126,12.27130745,44.79885315,,5.519251148,29.30579006,27077,46.8876381,0.199985227,0.239243639,0.032389113,0.005761347,0.027735717,0.511836614,0.136831547,0.24
2466,Hawkins County,0.225806452,0.94,0.038901602,52819,0.258246252,7.855048178,34.5334184,,3.779556129,15.58867582,58043,119.1712108,0.191358131,0.220043761,0.0142136,0.004048723,0.020588185,0.505091053,0.141592736,0.241
2467,Haywood County,0.162162162,0.92,0.045141647,46351,0.438265306,21.47620662,,,10.58769872,13.51419512,17550,32.92020296,0.216410256,0.211111111,0.498347578,0.004672365,0.045185185,0.528831909,0.120188678,0.263
2468,Henderson County,0.195121951,0.94,0.036455221,53822,0.248156863,7.512610453,17.8261593,0.176724138,5.624268206,12.29734244,27929,53.70870066,0.224462029,0.191413943,0.075942569,0.005084321,0.030219485,0.506713452,0.143631941,0.248
2469,Henry County,0.325,0.995,0.03983476,51194,0.274215761,14.26843264,38.28642384,0.138606108,6.639959275,29.45638192,32379,57.62389314,0.20009883,0.23981593,0.071651379,0.004787053,0.030390068,0.509774854,0.135590298,0.245
2470,Hickman County,0.192982456,0.93,0.028955885,56917,0.291755577,4.346623464,77.76254745,,5.732071513,26.89557569,25455,41.56031035,0.206757022,0.180514634,0.0456099,0.007542723,0.032370851,0.475741505,0.159733086,0.246
2471,Houston County,0.266666667,0.875,0.043519098,60581,0.117384013,12.02356619,60.45949214,,,,8219,41.03474907,0.20598613,0.209027862,0.031634019,0.005475119,0.031512349,0.505900961,0.148489896,0.232
2472,Humphreys County,0.357142857,0.925,0.034754402,58917,0.214459591,11.45177242,37.24526896,,,19.201544,19106,35.99726382,0.215796085,0.20522349,0.027635298,0.007589239,0.028839108,0.494661363,0.150998857,0.228
2473,Jackson County,0.357142857,0.875,0.038735343,43306,0.252036416,3.404255319,45.19774011,,,18.00528869,11989,38.82325771,0.179831512,0.23279673,0.008257569,0.008424389,0.02819251,0.492117775,0.140012655,0.254
2474,Jefferson County,0.307692308,0.96,0.036402912,60785,0.234089387,9.348482669,38.08349353,,2.894607347,16.16969379,56727,206.1662141,0.189415975,0.208877607,0.018985668,0.00495355,0.040844748,0.505262045,0.152524201,0.22
2475,Johnson County,0.3,0.925,0.033941169,45495,0.221389646,12.65822785,44.60386195,,,34.02549026,18086,60.60178469,0.164215415,0.241125733,0.023609422,0.004146854,0.02554462,0.463950017,0.1383325,0.266
2476,Knox County,0.21656051,0.899237326,0.028682761,70013,0.246939675,11.69153258,70.98985829,0.038993017,6.61115743,16.71220036,494574,972.9146139,0.205637579,0.165625367,0.085133873,0.003720374,0.051515041,0.510293707,0.16950454,0.173
2477,Lake County,0.25,,0.0497543,38088,0.479550102,9.820426487,,,,,6507,39.24962487,0.149377593,0.169202397,0.265867527,0.007530352,0.032119256,0.395573997,0.145885125,0.297
2478,Lauderdale County,0.555555556,0.96,0.046833422,47575,0.398606396,7.567309224,15.74968501,,10.49723757,13.45241953,24793,52.53919631,0.220142782,0.167829629,0.343242044,0.008752471,0.031702497,0.482999234,0.137476941,0.274
2479,Lawrence County,0.228571429,0.96,0.034791201,55562,0.187721048,11.1537432,32.98301375,0.134299517,6.532169301,21.69206011,45415,73.59066472,0.25040185,0.17518441,0.01748321,0.005130464,0.027303754,0.504150611,0.144200839,0.246
2480,Lewis County,0.166666667,0.975,0.036131584,53189,0.248827984,8.555650618,48.01536492,,,23.76026156,12957,45.93183542,0.21918654,0.211237169,0.020992514,0.006482982,0.031334414,0.507447712,0.138290198,0.263
2481,Lincoln County,0.424242424,0.940508242,0.032213391,61591,0.248883786,6.491124093,22.04353118,,,29.84000841,36004,63.12702686,0.223003,0.202727475,0.06802022,0.007915787,0.041217643,0.505721587,0.150158016,0.212
2482,Loudon County,0.2,0.912736419,0.032494974,79683,0.14646608,11.28946904,45.8748823,,3.480980458,13.79417768,58181,253.7642509,0.186263557,0.278630481,0.013423626,0.006325089,0.099465461,0.50521648,0.13822073,0.187
2483,McMinn County,0.2,0.92,0.04048583,60950,0.194118692,14.79864592,46.89592191,0.073926074,8.027572034,23.2723771,54719,127.2189421,0.210621539,0.203567317,0.036641752,0.005573932,0.048301321,0.508836053,0.140291432,0.235
2484,McNairy County,0.181818182,0.96,0.045812455,49706,0.177753934,10.05413766,31.06796117,0.108469539,,32.24408795,25988,46.17283916,0.214714484,0.207903648,0.05975835,0.005733415,0.026396799,0.506118208,0.137083181,0.251
2485,Macon County,0.095238095,0.89,0.030646407,56817,0.255261044,3.891201992,30.61441806,,,23.75682192,26229,85.39653004,0.246444775,0.162148767,0.011590225,0.0090358,0.056197339,0.506881696,0.149506277,0.267
2486,Madison County,0.302325581,0.86,0.034319214,57070,0.389796385,15.28726905,24.39693818,0.069606638,12.9805729,13.8936051,99245,178.1221071,0.220766789,0.182779989,0.375867802,0.00431256,0.046420475,0.519038743,0.138581892,0.208
2487,Marion County,0.192307692,0.88126506,0.038872138,58686,0.244433283,6.925927209,31.13899525,0.152251608,6.977636675,13.56098095,29094,58.39186552,0.203134667,0.214408469,0.038667767,0.005808758,0.024506771,0.50409019,0.142179697,0.242
2488,Marshall County,0.16,0.91,0.03293394,64013,0.299136745,6.860278985,39.28143713,0.161725067,4.691711878,18.25455969,35878,95.55692134,0.230531245,0.16583979,0.059730197,0.005546575,0.0662523,0.506995931,0.150387502,0.231
2489,Maury County,0.182926829,0.87,0.030399154,70225,0.257256444,10.11836579,36.90932609,0.058081852,5.26333202,16.82805334,108159,176.402163,0.225824943,0.174280458,0.111003245,0.00541795,0.071838682,0.512763617,0.155276016,0.188
2490,Meigs County,0.25,0.975,0.043679938,54257,0.113723978,8.429764733,49.99605294,,,24.4917217,13272,68.01440603,0.203209765,0.213833635,0.020268234,0.009267631,0.025316456,0.497136829,0.149892408,0.245
